bidNtceNo,bidNtceOrd,bidNtceNm,bsnsDivNm,cntrctCnclsSttusNm,cntrctCnclsMthdNm,bidwinrDcsnMthdNm,ntceInsttNm,ntceInsttCd,dmndInsttNm,dmndInsttCd,sucsfLwstlmtRt,presmptPrce,rsrvtnPrce,bssAmt,opengDate,opengTm,opengRsltDivNm,opengRank,bidprcCorpBizrno,bidprcCorpNm,bidprcCorpCeoNm,bidprcAmt,bidprcRt,bidprcDate,bidprcTm,sucsfYn,dqlfctnRsn,fnlSucsfAmt,fnlSucsfRt,fnlSucsfDate,fnlSucsfCorpNm,fnlSucsfCorpCeoNm,fnlSucsfCorpOfclNm,fnlSucsfCorpBizrno,fnlSucsfCorpAdrs,fnlSucsfCorpContactTel,dataBssDate
R25BK01068343,000,"CICU, SICU 중환자실 리모델링 설계용역(긴급)",용역,총액계약,제한경쟁,최저가 낙찰제,경북대학교병원,B550484,경북대학교병원,B550484,,86675454,83000000,,2025-09-25,11:00,개찰완료,2,5020633445,건축사사무소가상,배영교,68999000,83.131,2025-09-23,17:17,N,정상,60000000,72.289,2025-09-26,건축사사무소나봄,김희림,,260-13-01372,"대구광역시 군위군 군위읍 경북대로 3389, 402호(대림빌딩)",054-383-9868,2025-12-08
R25BK01068343,000,"CICU, SICU 중환자실 리모델링 설계용역(긴급)",용역,총액계약,제한경쟁,최저가 낙찰제,경북대학교병원,B550484,경북대학교병원,B550484,,86675454,83000000,,2025-09-25,11:00,개찰완료,3,5028112850,(주)종합건축사사무소남양,김용수,75900000,91.445,2025-09-25,09:16,N,정상,60000000,72.289,2025-09-26,건축사사무소나봄,김희림,,260-13-01372,"대구광역시 군위군 군위읍 경북대로 3389, 402호(대림빌딩)",054-383-9868,2025-12-08
R25BK01068343,000,"CICU, SICU 중환자실 리모델링 설계용역(긴급)",용역,총액계약,제한경쟁,최저가 낙찰제,경북대학교병원,B550484,경북대학교병원,B550484,,86675454,83000000,,2025-09-25,11:00,개찰완료,4,5148169040,주식회사명가건축사사무소,신효은,76264000,91.884,2025-09-24,17:43,N,정상,60000000,72.289,2025-09-26,건축사사무소나봄,김희림,,260-13-01372,"대구광역시 군위군 군위읍 경북대로 3389, 402호(대림빌딩)",054-383-9868,2025-12-08
R25BK01068487,000,2025년 단양군 어린이보호구역 정기 실태조사용역,용역,총액계약,수의계약,,충청북도 단양군,4480000,충청북도 단양군,4480000,88,81818182,,,2025-09-25,11:00,유찰,,,,,,,,,N,,,,,,,,--, ,,2025-12-08
R25BK01068516,000,화학소재·물질 실증화 평가시설 콘텐츠 개발 및 멀티홍보월 제작·설치용역,용역,총액계약,제한경쟁,협상에 의한 계약,한국화학연구원,Z004841,한국화학연구원,Z004841,,34727200,,,2025-09-25,11:00,유찰,,,,,,,,,N,,,,,,,,--, ,,2025-12-08
R25BK01068541,000,공공건축물 그린리모델링사업(방림1리경로당)실시설계 용역,용역,총액계약,수의계약,,강원특별자치도 평창군,4281000,강원특별자치도 평창군,4281000,88,29221000,31647850,32143100,2025-09-25,11:00,개찰완료,1,1287500607,신세기종합건축사 사무소,심주현,28110500,88.822,2025-09-23,18:45,Y,정상,28110500,88.822,2025-10-10,신세기종합건축사 사무소,심주현,,128-75-00607,강원특별자치도 평창군 평창읍 백오로 24-0 1층 105호(효성타운),,2025-12-08
R25BK01068541,000,공공건축물 그린리모델링사업(방림1리경로당)실시설계 용역,용역,총액계약,수의계약,,강원특별자치도 평창군,4281000,강원특별자치도 평창군,4281000,88,29221000,31647850,32143100,2025-09-25,11:00,개찰완료,2,3338701953,주식회사 내외건축사사무소,방승문,28184000,89.055,2025-09-24,17:51,N,정상,28110500,88.822,2025-10-10,신세기종합건축사 사무소,심주현,,128-75-00607,강원특별자치도 평창군 평창읍 백오로 24-0 1층 105호(효성타운),,2025-12-08
R25BK01068541,000,공공건축물 그린리모델링사업(방림1리경로당)실시설계 용역,용역,총액계약,수의계약,,강원특별자치도 평창군,4281000,강원특별자치도 평창군,4281000,88,29221000,31647850,32143100,2025-09-25,11:00,개찰완료,3,3151064230,한조각 건축사사무소,최태순,28188100,89.067,2025-09-23,14:14,N,정상,28110500,88.822,2025-10-10,신세기종합건축사 사무소,심주현,,128-75-00607,강원특별자치도 평창군 평창읍 백오로 24-0 1층 105호(효성타운),,2025-12-08
R25BK01068541,000,공공건축물 그린리모델링사업(방림1리경로당)실시설계 용역,용역,총액계약,수의계약,,강원특별자치도 평창군,4281000,강원특별자치도 평창군,4281000,88,29221000,31647850,32143100,2025-09-25,11:00,개찰완료,4,5075200534,좋은공간도영건축사사무소,김재곤,28191000,89.077,2025-09-22,12:35,N,정상,28110500,88.822,2025-10-10,신세기종합건축사 사무소,심주현,,128-75-00607,강원특별자치도 평창군 평창읍 백오로 24-0 1층 105호(효성타운),,2025-12-08
R25BK01068541,000,공공건축물 그린리모델링사업(방림1리경로당)실시설계 용역,용역,총액계약,수의계약,,강원특별자치도 평창군,4281000,강원특별자치도 평창군,4281000,88,29221000,31647850,32143100,2025-09-25,11:00,개찰완료,5,7772300638,건축사사무소 환경건축,황선주,28213120,89.147,2025-09-24,17:43,N,정상,28110500,88.822,2025-10-10,신세기종합건축사 사무소,심주현,,128-75-00607,강원특별자치도 평창군 평창읍 백오로 24-0 1층 105호(효성타운),,2025-12-08
