bidNtceNo,bidNtceOrd,bidNtceNm,bsnsDivNm,cntrctCnclsSttusNm,cntrctCnclsMthdNm,bidwinrDcsnMthdNm,ntceInsttNm,ntceInsttCd,dmndInsttNm,dmndInsttCd,sucsfLwstlmtRt,presmptPrce,rsrvtnPrce,bssAmt,opengDate,opengTm,opengRsltDivNm,opengRank,bidprcCorpBizrno,bidprcCorpNm,bidprcCorpCeoNm,bidprcAmt,bidprcRt,bidprcDate,bidprcTm,sucsfYn,dqlfctnRsn,fnlSucsfAmt,fnlSucsfRt,fnlSucsfDate,fnlSucsfCorpNm,fnlSucsfCorpCeoNm,fnlSucsfCorpOfclNm,fnlSucsfCorpBizrno,fnlSucsfCorpAdrs,fnlSucsfCorpContactTel,dataBssDate
R25BK01065802,000,용인청사 미화용역,용역,총액계약,제한경쟁,적격심사제,조달청 인천지방조달청,1230133,한국소방산업기술원,B552486,87.995,117793934,127879900,126846990,2025-09-26,15:00,개찰완료,,5131367924,대한엔지니어링,공영찬,110501592,86.41,2025-09-25,12:20,N,낙찰하한선 미달,112535280,88,2025-10-14,주식회사 원중기업,고재정,,131-81-20328,"인천광역시 남동구 인주대로 670, 901호 (구월동,인향콤비타워)",032-467-6060,2025-12-08
R25BK01065802,000,용인청사 미화용역,용역,총액계약,제한경쟁,적격심사제,조달청 인천지방조달청,1230133,한국소방산업기술원,B552486,87.995,117793934,127879900,126846990,2025-09-26,15:00,개찰완료,,5088139158,주식회사 경남물산,이창무,110510850,86.417,2025-09-25,10:50,N,낙찰하한선 미달,112535280,88,2025-10-14,주식회사 원중기업,고재정,,131-81-20328,"인천광역시 남동구 인주대로 670, 901호 (구월동,인향콤비타워)",032-467-6060,2025-12-08
R25BK01065802,000,용인청사 미화용역,용역,총액계약,제한경쟁,적격심사제,조달청 인천지방조달청,1230133,한국소방산업기술원,B552486,87.995,117793934,127879900,126846990,2025-09-26,15:00,개찰완료,,3988600352,주식회사 뉴하나회,이경춘,110512020,86.418,2025-09-26,08:54,N,낙찰하한선 미달,112535280,88,2025-10-14,주식회사 원중기업,고재정,,131-81-20328,"인천광역시 남동구 인주대로 670, 901호 (구월동,인향콤비타워)",032-467-6060,2025-12-08
R25BK01065802,000,용인청사 미화용역,용역,총액계약,제한경쟁,적격심사제,조달청 인천지방조달청,1230133,한국소방산업기술원,B552486,87.995,117793934,127879900,126846990,2025-09-26,15:00,개찰완료,,5042540230,지에스종합관리,이근식,110512800,86.419,2025-09-24,16:28,N,낙찰하한선 미달,112535280,88,2025-10-14,주식회사 원중기업,고재정,,131-81-20328,"인천광역시 남동구 인주대로 670, 901호 (구월동,인향콤비타워)",032-467-6060,2025-12-08
R25BK01065802,000,용인청사 미화용역,용역,총액계약,제한경쟁,적격심사제,조달청 인천지방조달청,1230133,한국소방산업기술원,B552486,87.995,117793934,127879900,126846990,2025-09-26,15:00,개찰완료,,7718701422,주식회사 지아이엔씨,권수연,110518450,86.423,2025-09-25,22:15,N,낙찰하한선 미달,112535280,88,2025-10-14,주식회사 원중기업,고재정,,131-81-20328,"인천광역시 남동구 인주대로 670, 901호 (구월동,인향콤비타워)",032-467-6060,2025-12-08
R25BK01065802,000,용인청사 미화용역,용역,총액계약,제한경쟁,적격심사제,조달청 인천지방조달청,1230133,한국소방산업기술원,B552486,87.995,117793934,127879900,126846990,2025-09-26,15:00,개찰완료,,3178138081,주식회사 영창정보기술,손춘택,110523700,86.427,2025-09-26,11:51,N,낙찰하한선 미달,112535280,88,2025-10-14,주식회사 원중기업,고재정,,131-81-20328,"인천광역시 남동구 인주대로 670, 901호 (구월동,인향콤비타워)",032-467-6060,2025-12-08
R25BK01065802,000,용인청사 미화용역,용역,총액계약,제한경쟁,적격심사제,조달청 인천지방조달청,1230133,한국소방산업기술원,B552486,87.995,117793934,127879900,126846990,2025-09-26,15:00,개찰완료,,6098137088,세신산업주식회사,방영수,110525590,86.429,2025-09-25,08:49,N,낙찰하한선 미달,112535280,88,2025-10-14,주식회사 원중기업,고재정,,131-81-20328,"인천광역시 남동구 인주대로 670, 901호 (구월동,인향콤비타워)",032-467-6060,2025-12-08
R25BK01065802,000,용인청사 미화용역,용역,총액계약,제한경쟁,적격심사제,조달청 인천지방조달청,1230133,한국소방산업기술원,B552486,87.995,117793934,127879900,126846990,2025-09-26,15:00,개찰완료,,4258700836,피에스앤케이 주식회사,정수진,110526260,86.429,2025-09-24,21:22,N,낙찰하한선 미달,112535280,88,2025-10-14,주식회사 원중기업,고재정,,131-81-20328,"인천광역시 남동구 인주대로 670, 901호 (구월동,인향콤비타워)",032-467-6060,2025-12-08
R25BK01065802,000,용인청사 미화용역,용역,총액계약,제한경쟁,적격심사제,조달청 인천지방조달청,1230133,한국소방산업기술원,B552486,87.995,117793934,127879900,126846990,2025-09-26,15:00,개찰완료,,1348178187,주식회사 디케이,강윤순,110530390,86.432,2025-09-24,16:39,N,낙찰하한선 미달,112535280,88,2025-10-14,주식회사 원중기업,고재정,,131-81-20328,"인천광역시 남동구 인주대로 670, 901호 (구월동,인향콤비타워)",032-467-6060,2025-12-08
R25BK01065802,000,용인청사 미화용역,용역,총액계약,제한경쟁,적격심사제,조달청 인천지방조달청,1230133,한국소방산업기술원,B552486,87.995,117793934,127879900,126846990,2025-09-26,15:00,개찰완료,,7923400730,다옴스퀘어,조경숙,110533850,86.435,2025-09-24,19:22,N,낙찰하한선 미달,112535280,88,2025-10-14,주식회사 원중기업,고재정,,131-81-20328,"인천광역시 남동구 인주대로 670, 901호 (구월동,인향콤비타워)",032-467-6060,2025-12-08
R25BK01065802,000,용인청사 미화용역,용역,총액계약,제한경쟁,적격심사제,조달청 인천지방조달청,1230133,한국소방산업기술원,B552486,87.995,117793934,127879900,126846990,2025-09-26,15:00,개찰완료,,1308705122,주식회사 지유씨엔에스,김문수,110538972,86.439,2025-09-25,09:24,N,낙찰하한선 미달,112535280,88,2025-10-14,주식회사 원중기업,고재정,,131-81-20328,"인천광역시 남동구 인주대로 670, 901호 (구월동,인향콤비타워)",032-467-6060,2025-12-08
R25BK01065802,000,용인청사 미화용역,용역,총액계약,제한경쟁,적격심사제,조달청 인천지방조달청,1230133,한국소방산업기술원,B552486,87.995,117793934,127879900,126846990,2025-09-26,15:00,개찰완료,,3773000945,봄클린,고이숙,110551710,86.449,2025-09-26,09:33,N,낙찰하한선 미달,112535280,88,2025-10-14,주식회사 원중기업,고재정,,131-81-20328,"인천광역시 남동구 인주대로 670, 901호 (구월동,인향콤비타워)",032-467-6060,2025-12-08
R25BK01065802,000,용인청사 미화용역,용역,총액계약,제한경쟁,적격심사제,조달청 인천지방조달청,1230133,한국소방산업기술원,B552486,87.995,117793934,127879900,126846990,2025-09-26,15:00,개찰완료,,4668102959,에스제이 주식회사,손문규,110553790,86.451,2025-09-25,14:14,N,낙찰하한선 미달,112535280,88,2025-10-14,주식회사 원중기업,고재정,,131-81-20328,"인천광역시 남동구 인주대로 670, 901호 (구월동,인향콤비타워)",032-467-6060,2025-12-08
R25BK01065802,000,용인청사 미화용역,용역,총액계약,제한경쟁,적격심사제,조달청 인천지방조달청,1230133,한국소방산업기술원,B552486,87.995,117793934,127879900,126846990,2025-09-26,15:00,개찰완료,,1138197829,주식회사 드림이앤에프,박완종,110555120,86.452,2025-09-25,16:55,N,낙찰하한선 미달,112535280,88,2025-10-14,주식회사 원중기업,고재정,,131-81-20328,"인천광역시 남동구 인주대로 670, 901호 (구월동,인향콤비타워)",032-467-6060,2025-12-08
R25BK01065802,000,용인청사 미화용역,용역,총액계약,제한경쟁,적격심사제,조달청 인천지방조달청,1230133,한국소방산업기술원,B552486,87.995,117793934,127879900,126846990,2025-09-26,15:00,개찰완료,,2148781603,주식회사 한국관리,김영기,110556600,86.453,2025-09-25,11:50,N,낙찰하한선 미달,112535280,88,2025-10-14,주식회사 원중기업,고재정,,131-81-20328,"인천광역시 남동구 인주대로 670, 901호 (구월동,인향콤비타워)",032-467-6060,2025-12-08
R25BK01065802,000,용인청사 미화용역,용역,총액계약,제한경쟁,적격심사제,조달청 인천지방조달청,1230133,한국소방산업기술원,B552486,87.995,117793934,127879900,126846990,2025-09-26,15:00,개찰완료,,2158617903,주식회사 경도이앤씨,이용호,110557290,86.454,2025-09-26,09:16,N,낙찰하한선 미달,112535280,88,2025-10-14,주식회사 원중기업,고재정,,131-81-20328,"인천광역시 남동구 인주대로 670, 901호 (구월동,인향콤비타워)",032-467-6060,2025-12-08
R25BK01065802,000,용인청사 미화용역,용역,총액계약,제한경쟁,적격심사제,조달청 인천지방조달청,1230133,한국소방산업기술원,B552486,87.995,117793934,127879900,126846990,2025-09-26,15:00,개찰완료,,1688601667,주식회사 한국에코,김석기,110559000,86.455,2025-09-25,10:25,N,낙찰하한선 미달,112535280,88,2025-10-14,주식회사 원중기업,고재정,,131-81-20328,"인천광역시 남동구 인주대로 670, 901호 (구월동,인향콤비타워)",032-467-6060,2025-12-08
R25BK01065802,000,용인청사 미화용역,용역,총액계약,제한경쟁,적격심사제,조달청 인천지방조달청,1230133,한국소방산업기술원,B552486,87.995,117793934,127879900,126846990,2025-09-26,15:00,개찰완료,,1408135387,(주)창우환경,조경춘,110569570,86.463,2025-09-24,15:42,N,낙찰하한선 미달,112535280,88,2025-10-14,주식회사 원중기업,고재정,,131-81-20328,"인천광역시 남동구 인주대로 670, 901호 (구월동,인향콤비타워)",032-467-6060,2025-12-08
R25BK01065802,000,용인청사 미화용역,용역,총액계약,제한경쟁,적격심사제,조달청 인천지방조달청,1230133,한국소방산업기술원,B552486,87.995,117793934,127879900,126846990,2025-09-26,15:00,개찰완료,,8418601817,주식회사 이브컨설팅,안준혁,110570470,86.464,2025-09-25,20:28,N,낙찰하한선 미달,112535280,88,2025-10-14,주식회사 원중기업,고재정,,131-81-20328,"인천광역시 남동구 인주대로 670, 901호 (구월동,인향콤비타워)",032-467-6060,2025-12-08
R25BK01065802,000,용인청사 미화용역,용역,총액계약,제한경쟁,적격심사제,조달청 인천지방조달청,1230133,한국소방산업기술원,B552486,87.995,117793934,127879900,126846990,2025-09-26,15:00,개찰완료,,1378169483,(주)대림비엠시,나홍인,110571350,86.464,2025-09-25,21:58,N,낙찰하한선 미달,112535280,88,2025-10-14,주식회사 원중기업,고재정,,131-81-20328,"인천광역시 남동구 인주대로 670, 901호 (구월동,인향콤비타워)",032-467-6060,2025-12-08
R25BK01065802,000,용인청사 미화용역,용역,총액계약,제한경쟁,적격심사제,조달청 인천지방조달청,1230133,한국소방산업기술원,B552486,87.995,117793934,127879900,126846990,2025-09-26,15:00,개찰완료,,1248663246,주식회사청소박사,김성지,110572020,86.465,2025-09-24,14:12,N,낙찰하한선 미달,112535280,88,2025-10-14,주식회사 원중기업,고재정,,131-81-20328,"인천광역시 남동구 인주대로 670, 901호 (구월동,인향콤비타워)",032-467-6060,2025-12-08
R25BK01065802,000,용인청사 미화용역,용역,총액계약,제한경쟁,적격심사제,조달청 인천지방조달청,1230133,한국소방산업기술원,B552486,87.995,117793934,127879900,126846990,2025-09-26,15:00,개찰완료,,1198189778,주식회사 듀델코리아,장철우,110574300,86.467,2025-09-26,08:39,N,낙찰하한선 미달,112535280,88,2025-10-14,주식회사 원중기업,고재정,,131-81-20328,"인천광역시 남동구 인주대로 670, 901호 (구월동,인향콤비타워)",032-467-6060,2025-12-08
R25BK01065802,000,용인청사 미화용역,용역,총액계약,제한경쟁,적격심사제,조달청 인천지방조달청,1230133,한국소방산업기술원,B552486,87.995,117793934,127879900,126846990,2025-09-26,15:00,개찰완료,,6770401864,예슬피앤디,신진수,110576180,86.468,2025-09-24,18:42,N,낙찰하한선 미달,112535280,88,2025-10-14,주식회사 원중기업,고재정,,131-81-20328,"인천광역시 남동구 인주대로 670, 901호 (구월동,인향콤비타워)",032-467-6060,2025-12-08
R25BK01065802,000,용인청사 미화용역,용역,총액계약,제한경쟁,적격심사제,조달청 인천지방조달청,1230133,한국소방산업기술원,B552486,87.995,117793934,127879900,126846990,2025-09-26,15:00,개찰완료,,2702601613,소담코프,김현승,110581280,86.472,2025-09-25,09:48,N,낙찰하한선 미달,112535280,88,2025-10-14,주식회사 원중기업,고재정,,131-81-20328,"인천광역시 남동구 인주대로 670, 901호 (구월동,인향콤비타워)",032-467-6060,2025-12-08
R25BK01065802,000,용인청사 미화용역,용역,총액계약,제한경쟁,적격심사제,조달청 인천지방조달청,1230133,한국소방산업기술원,B552486,87.995,117793934,127879900,126846990,2025-09-26,15:00,개찰완료,,2618600405,주식회사 레오팔레스,이현자,110584860,86.475,2025-09-25,02:34,N,낙찰하한선 미달,112535280,88,2025-10-14,주식회사 원중기업,고재정,,131-81-20328,"인천광역시 남동구 인주대로 670, 901호 (구월동,인향콤비타워)",032-467-6060,2025-12-08
R25BK01065802,000,용인청사 미화용역,용역,총액계약,제한경쟁,적격심사제,조달청 인천지방조달청,1230133,한국소방산업기술원,B552486,87.995,117793934,127879900,126846990,2025-09-26,15:00,개찰완료,,3148659762,주식회사 크린산업개발,김운식,110585420,86.475,2025-09-25,17:03,N,낙찰하한선 미달,112535280,88,2025-10-14,주식회사 원중기업,고재정,,131-81-20328,"인천광역시 남동구 인주대로 670, 901호 (구월동,인향콤비타워)",032-467-6060,2025-12-08
R25BK01065802,000,용인청사 미화용역,용역,총액계약,제한경쟁,적격심사제,조달청 인천지방조달청,1230133,한국소방산업기술원,B552486,87.995,117793934,127879900,126846990,2025-09-26,15:00,개찰완료,,2568800824,팔방미인 주식회사,강갑례,110588100,86.478,2025-09-25,09:01,N,낙찰하한선 미달,112535280,88,2025-10-14,주식회사 원중기업,고재정,,131-81-20328,"인천광역시 남동구 인주대로 670, 901호 (구월동,인향콤비타워)",032-467-6060,2025-12-08
R25BK01065802,000,용인청사 미화용역,용역,총액계약,제한경쟁,적격심사제,조달청 인천지방조달청,1230133,한국소방산업기술원,B552486,87.995,117793934,127879900,126846990,2025-09-26,15:00,개찰완료,,1348623085,(주)신원티에스,박근무,110591220,86.48,2025-09-25,08:56,N,낙찰하한선 미달,112535280,88,2025-10-14,주식회사 원중기업,고재정,,131-81-20328,"인천광역시 남동구 인주대로 670, 901호 (구월동,인향콤비타워)",032-467-6060,2025-12-08
R25BK01065802,000,용인청사 미화용역,용역,총액계약,제한경쟁,적격심사제,조달청 인천지방조달청,1230133,한국소방산업기술원,B552486,87.995,117793934,127879900,126846990,2025-09-26,15:00,개찰완료,,3148110648,성진기업 주식회사,손석천,110595080,86.483,2025-09-25,14:04,N,낙찰하한선 미달,112535280,88,2025-10-14,주식회사 원중기업,고재정,,131-81-20328,"인천광역시 남동구 인주대로 670, 901호 (구월동,인향콤비타워)",032-467-6060,2025-12-08
R25BK01065802,000,용인청사 미화용역,용역,총액계약,제한경쟁,적격심사제,조달청 인천지방조달청,1230133,한국소방산업기술원,B552486,87.995,117793934,127879900,126846990,2025-09-26,15:00,개찰완료,,1098154781,(주)공항엔지니어링,이소영,110601040,86.488,2025-09-26,12:21,N,낙찰하한선 미달,112535280,88,2025-10-14,주식회사 원중기업,고재정,,131-81-20328,"인천광역시 남동구 인주대로 670, 901호 (구월동,인향콤비타워)",032-467-6060,2025-12-08
R25BK01065802,000,용인청사 미화용역,용역,총액계약,제한경쟁,적격심사제,조달청 인천지방조달청,1230133,한국소방산업기술원,B552486,87.995,117793934,127879900,126846990,2025-09-26,15:00,개찰완료,,4088608985,주식회사 두라,김승빈,110605290,86.491,2025-09-26,05:03,N,낙찰하한선 미달,112535280,88,2025-10-14,주식회사 원중기업,고재정,,131-81-20328,"인천광역시 남동구 인주대로 670, 901호 (구월동,인향콤비타워)",032-467-6060,2025-12-08
R25BK01065802,000,용인청사 미화용역,용역,총액계약,제한경쟁,적격심사제,조달청 인천지방조달청,1230133,한국소방산업기술원,B552486,87.995,117793934,127879900,126846990,2025-09-26,15:00,개찰완료,,1168108188,이레안전시스템 주식회사,강수령,110606624,86.492,2025-09-25,16:16,N,낙찰하한선 미달,112535280,88,2025-10-14,주식회사 원중기업,고재정,,131-81-20328,"인천광역시 남동구 인주대로 670, 901호 (구월동,인향콤비타워)",032-467-6060,2025-12-08
